#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Finals ⬥ Mappool Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,map,artist - title,,,,best player,mods,,score,acc,,,,best team,score,acc,,,avg. score,avg. acc,picks,,,bans,,,pick/ban visualization,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM1,inoqx - DEAFHEAVEN,,,,xootynator,,A,"653,179",98.55%,,,,Canada,"1,773,316",97.86%,,,"414,065",97.77%,,1,25%,,3,75%,p,b,b,b
,,NM2,The Odious Construct - Throne of Misanthropy,,,,mrekk,,S,"958,218",98.66%,,,,Australia,"2,462,254",96.09%,,,"492,427",95.09%,,1,25%,,3,75%,p,b,b,b
,,NM3,EmoCosine - Cutter,,,,mrekk,,A,"541,736",97.90%,,,,Australia,"1,711,719",96.70%,,,"375,066",96.23%,,2,50%,,0,0%,p,p,,
,,NM4,XenjeS - Inorganic Dystopia,,,,mrekk,,A,"771,321",97.41%,,,,Australia,"1,948,408",97.07%,,,"447,857",96.38%,,3,75%,,0,0%,p,p,p,
,,NM5,Shione Kitsune - <header>,,,,MALISZEWSKI,,S,"992,986",99.65%,,,,Poland,"3,133,929",98.69%,,,"533,732",97.36%,,4,100%,,0,0%,p,p,p,p
,,HD1,MASA WORKS DESIGN feat. Hatsune Miku & GUMI - Kitsune no Yomeiri,,,,xootynator,, S ,"1,024,590",98.97%,,,,Canada,"2,461,292",98.42%,,,"508,527",98.42%,,4,100%,,0,0%,p,p,p,p
,,HD2,"syumagi - Bad Day, Good-Bye. feat. Suisoh",,,,,,,,,,,,,,,,,,,,0,0%,,4,100%,b,b,b,b
,,HD3,Frums - Zephyrs,,,,mrekk,,A,"651,157",98.58%,,,,United States,"1,873,301",96.31%,,,"406,212",95.45%,,4,100%,,0,0%,p,p,p,p
,,HR1,Asriel - Kegare Naki Yume,,,,MALISZEWSKI,,A,"638,383",99.16%,,,,United States,"2,081,904",98.03%,,,"481,972",97.86%,,1,25%,,0,0%,p,,,
,,HR2,cygnus - The Ruby of Twilight,,,,rektygon,,A,"619,182",96.52%,,,,United States,"1,816,291",96.30%,,,"416,585",96.02%,,1,25%,,1,25%,p,b,,
,,HR3,Marmalade butcher - Open Scar Unending,,,,criller,,S,"717,784",97.78%,,,,Canada,"2,251,226",96.84%,,,"507,040",96.88%,,4,100%,,0,0%,p,p,p,p
,,DT1,TwoThirds & Feint - Epiphany (feat. Veela),,,,mrekk,,S,"1,163,611",99.10%,,,,Australia,"2,845,384",97.62%,,,"576,299",97.19%,,3,75%,,0,0%,p,p,p,
,,DT2,Decapitated - Homo Sum,,,,Zylice,,S,"1,113,750",98.02%,,,,Canada,"2,970,169",95.67%,,,"581,330",92.11%,,1,25%,,0,0%,p,,,
,,DT3,modlessflash - vertigo,,,,mrekk,,S,"1,073,006",96.88%,,,,Australia,"2,363,045",94.20%,,,"542,753",93.73%,,1,25%,,3,75%,p,b,b,b
,,DT4,Street - Maritime Police,,,,mrekk,,A,"690,968",97.78%,,,,Poland,"2,155,255",97.44%,,,"498,023",96.92%,,2,50%,,2,50%,p,p,b,b
,,FM1,BABYMETAL - Arkadia,,,,MALISZEWSKI,NM,A,"762,624",99.04%,,,,United States,"2,467,821",98.49%,,,"532,642",97.85%,,3,75%,,0,0%,p,p,p,
,,FM2,I love you Orchestra - Red Ocean,,,,BoshyMan741,NM,S,"926,968",97.90%,,,,United States,"2,300,129",97.14%,,,"520,650",97.50%,,2,50%,,0,0%,p,p,,
,,FM3,TJ.hangneil + Atomic Sphere feat. Annabel - the Tower of NIRV,,,,ASecretBox,HD, S ,"988,681",98.04%,,,,Australia,"2,967,849",97.53%,,,"640,577",97.27%,,1,25%,,0,0%,p,,,
,,FM4,FREDERIC - Sparkle Dancer,,,,xootynator,HD, S ,"1,023,078",99.04%,,,,Poland,"2,543,036",98.72%,,,"527,004",98.06%,,4,100%,,0,0%,p,p,p,p
,,TB,t+pazolite - Gumbarlzo!,,,,MALISZEWSKI,NM,A,"446,245",98.73%,,,,Poland,"1,558,272",96.82%,,,"375,698",96.93%,,1,25%,,0,0%,p,,,